SMITH	1.53	1.53	1
JOHNSON	1.2	2.73	2
WILLIAMS	0.99	3.72	3
BROWN	0.89	4.62	4
JONES	0.88	5.5	5
MILLER	0.73	6.22	6
DAVIS	0.69	6.92	7
GARCIA	0.55	7.47	8
RODRIGUEZ	0.52	7.99	9
WILSON	0.51	8.49	10
MARTINEZ	0.5	8.99	11
ANDERSON	0.49	9.49	12
TAYLOR	0.47	9.95	13
THOMAS	0.46	10.41	14
HERNANDEZ	0.46	10.87	15
MOORE	0.45	11.32	16
MARTIN	0.43	11.75	17
JACKSON	0.43	12.18	18
THOMPSON	0.42	12.6	19
WHITE	0.41	13.01	20
LOPEZ	0.4	13.41	21
LEE	0.39	13.8	22
GONZALEZ	0.39	14.19	23
HARRIS	0.38	14.57	24
CLARK	0.35	14.93	25
LEWIS	0.33	15.25	26
ROBINSON	0.33	15.58	27
WALKER	0.32	15.9	28
PEREZ	0.32	16.22	29
HALL	0.31	16.52	30
YOUNG	0.3	16.83	31
ALLEN	0.3	17.12	32
SANCHEZ	0.29	17.41	33
WRIGHT	0.28	17.69	34
KING	0.28	17.98	35
SCOTT	0.27	18.25	36
GREEN	0.27	18.51	37
BAKER	0.27	18.78	38
ADAMS	0.27	19.05	39
NELSON	0.27	19.31	40
HILL	0.27	19.58	41
RAMIREZ	0.25	19.83	42
CAMPBELL	0.24	20.07	43
MITCHELL	0.24	20.31	44
ROBERTS	0.24	20.54	45
CARTER	0.23	20.78	46
PHILLIPS	0.23	21.01	47
EVANS	0.22	21.23	48
TURNER	0.22	21.44	49
TORRES	0.21	21.65	50
PARKER	0.21	21.86	51
COLLINS	0.21	22.07	52
EDWARDS	0.21	22.27	53
STEWART	0.2	22.47	54
FLORES	0.2	22.68	55
MORRIS	0.2	22.88	56
NGUYEN	0.2	23.08	57
MURPHY	0.19	23.27	58
RIVERA	0.19	23.46	59
COOK	0.19	23.65	60
ROGERS	0.19	23.84	61
MORGAN	0.18	24.02	62
PETERSON	0.18	24.2	63
COOPER	0.17	24.37	64
REED	0.17	24.55	65
BAILEY	0.17	24.72	66
BELL	0.17	24.89	67
GOMEZ	0.17	25.06	68
KELLY	0.17	25.23	69
HOWARD	0.17	25.39	70
WARD	0.16	25.56	71
COX	0.16	25.72	72
DIAZ	0.16	25.88	73
RICHARDSON	0.16	26.05	74
WOOD	0.16	26.21	75
WATSON	0.16	26.36	76
BROOKS	0.16	26.52	77
BENNETT	0.15	26.67	78
GRAY	0.15	26.82	79
JAMES	0.15	26.98	80
REYES	0.15	27.13	81
CRUZ	0.15	27.27	82
HUGHES	0.15	27.42	83
PRICE	0.15	27.57	84
MYERS	0.15	27.72	85
LONG	0.14	27.86	86
FOSTER	0.14	28	87
SANDERS	0.14	28.15	88
ROSS	0.14	28.29	89
MORALES	0.14	28.43	90
POWELL	0.14	28.57	91
SULLIVAN	0.14	28.71	92
RUSSELL	0.14	28.85	93
ORTIZ	0.14	28.99	94
JENKINS	0.14	29.12	95
GUTIERREZ	0.14	29.26	96
PERRY	0.14	29.4	97
BUTLER	0.14	29.53	98
BARNES	0.14	29.67	99
FISHER	0.14	29.81	100
HENDERSON	0.14	29.94	101
COLEMAN	0.14	30.08	102
SIMMONS	0.13	30.21	103
PATTERSON	0.13	30.33	104
JORDAN	0.13	30.46	105
REYNOLDS	0.13	30.59	106
HAMILTON	0.13	30.71	107
GRAHAM	0.13	30.84	108
KIM	0.13	30.96	109
GONZALES	0.13	31.09	110
ALEXANDER	0.13	31.21	111
RAMOS	0.13	31.34	112
WALLACE	0.12	31.46	113
GRIFFIN	0.12	31.58	114
WEST	0.12	31.71	115
COLE	0.12	31.83	116
HAYES	0.12	31.95	117
CHAVEZ	0.12	32.07	118
GIBSON	0.12	32.19	119
BRYANT	0.12	32.31	120
ELLIS	0.12	32.42	121
STEVENS	0.12	32.54	122
MURRAY	0.12	32.65	123
FORD	0.12	32.77	124
MARSHALL	0.11	32.88	125
OWENS	0.11	33	126
MCDONALD	0.11	33.11	127
HARRISON	0.11	33.22	128
RUIZ	0.11	33.34	129
KENNEDY	0.11	33.45	130
WELLS	0.11	33.56	131
ALVAREZ	0.11	33.67	132
WOODS	0.11	33.78	133
MENDOZA	0.11	33.89	134
CASTILLO	0.11	33.99	135
OLSON	0.11	34.1	136
WEBB	0.11	34.2	137
WASHINGTON	0.11	34.31	138
TUCKER	0.11	34.41	139
FREEMAN	0.11	34.52	140
BURNS	0.11	34.62	141
HENRY	0.1	34.73	142
VASQUEZ	0.1	34.83	143
SNYDER	0.1	34.93	144
SIMPSON	0.1	35.04	145
CRAWFORD	0.1	35.14	146
JIMENEZ	0.1	35.24	147
PORTER	0.1	35.34	148
MASON	0.1	35.44	149
SHAW	0.1	35.54	150
GORDON	0.1	35.64	151
WAGNER	0.1	35.74	152
HUNTER	0.1	35.84	153
ROMERO	0.1	35.94	154
HICKS	0.1	36.04	155
DIXON	0.1	36.14	156
HUNT	0.1	36.24	157
PALMER	0.1	36.33	158
ROBERTSON	0.1	36.43	159
BLACK	0.1	36.53	160
HOLMES	0.1	36.62	161
STONE	0.1	36.72	162
MEYER	0.1	36.82	163
BOYD	0.1	36.91	164
MILLS	0.1	37.01	165
WARREN	0.1	37.11	166
FOX	0.1	37.2	167
ROSE	0.1	37.3	168
RICE	0.1	37.39	169
MORENO	0.09	37.49	170
SCHMIDT	0.09	37.58	171
PATEL	0.09	37.67	172
FERGUSON	0.09	37.77	173
NICHOLS	0.09	37.86	174
HERRERA	0.09	37.95	175
MEDINA	0.09	38.04	176
RYAN	0.09	38.13	177
FERNANDEZ	0.09	38.22	178
WEAVER	0.09	38.31	179
DANIELS	0.09	38.4	180
STEPHENS	0.09	38.49	181
GARDNER	0.09	38.58	182
PAYNE	0.09	38.67	183
KELLEY	0.09	38.76	184
DUNN	0.09	38.84	185
PIERCE	0.09	38.93	186
ARNOLD	0.09	39.02	187
TRAN	0.09	39.11	188
SPENCER	0.09	39.2	189
PETERS	0.09	39.28	190
HAWKINS	0.09	39.37	191
GRANT	0.09	39.46	192
HANSEN	0.09	39.54	193
CASTRO	0.09	39.63	194
HOFFMAN	0.09	39.71	195
HART	0.09	39.8	196
ELLIOTT	0.09	39.89	197
CUNNINGHAM	0.09	39.97	198
KNIGHT	0.09	40.06	199
BRADLEY	0.09	40.14	200
CARROLL	0.09	40.23	201
HUDSON	0.08	40.31	202
DUNCAN	0.08	40.39	203
ARMSTRONG	0.08	40.48	204
BERRY	0.08	40.56	205
ANDREWS	0.08	40.65	206
JOHNSTON	0.08	40.73	207
RAY	0.08	40.81	208
LANE	0.08	40.9	209
RILEY	0.08	40.98	210
CARPENTER	0.08	41.06	211
PERKINS	0.08	41.14	212
AGUILAR	0.08	41.22	213
SILVA	0.08	41.31	214
RICHARDS	0.08	41.39	215
WILLIS	0.08	41.47	216
MATTHEWS	0.08	41.55	217
CHAPMAN	0.08	41.63	218
LAWRENCE	0.08	41.71	219
GARZA	0.08	41.79	220
VARGAS	0.08	41.87	221
WATKINS	0.08	41.95	222
WHEELER	0.08	42.03	223
LARSON	0.08	42.1	224
CARLSON	0.08	42.18	225
HARPER	0.08	42.26	226
GEORGE	0.08	42.34	227
GREENE	0.08	42.41	228
BURKE	0.08	42.49	229
GUZMAN	0.08	42.57	230
MORRISON	0.08	42.64	231
MUNOZ	0.08	42.72	232
JACOBS	0.08	42.79	233
OBRIEN	0.08	42.87	234
LAWSON	0.07	42.94	235
FRANKLIN	0.07	43.02	236
LYNCH	0.07	43.09	237
BISHOP	0.07	43.16	238
CARR	0.07	43.24	239
SALAZAR	0.07	43.31	240
AUSTIN	0.07	43.38	241
MENDEZ	0.07	43.46	242
GILBERT	0.07	43.53	243
JENSEN	0.07	43.6	244
WILLIAMSON	0.07	43.68	245
MONTGOMERY	0.07	43.75	246
HARVEY	0.07	43.82	247
OLIVER	0.07	43.89	248
HOWELL	0.07	43.96	249
DEAN	0.07	44.03	250
HANSON	0.07	44.1	251
WEBER	0.07	44.17	252
GARRETT	0.07	44.24	253
SIMS	0.07	44.31	254
BURTON	0.07	44.38	255
FULLER	0.07	44.45	256
SOTO	0.07	44.52	257
MCCOY	0.07	44.59	258
WELCH	0.07	44.66	259
CHEN	0.07	44.72	260
SCHULTZ	0.07	44.79	261
WALTERS	0.07	44.86	262
REID	0.07	44.93	263
FIELDS	0.07	44.99	264
WALSH	0.07	45.06	265
LITTLE	0.07	45.13	266
FOWLER	0.07	45.19	267
BOWMAN	0.07	45.26	268
DAVIDSON	0.07	45.32	269
MAY	0.07	45.39	270
DAY	0.07	45.46	271
SCHNEIDER	0.07	45.52	272
NEWMAN	0.07	45.59	273
BREWER	0.07	45.65	274
LUCAS	0.07	45.72	275
HOLLAND	0.06	45.78	276
WONG	0.06	45.84	277
BANKS	0.06	45.91	278
SANTOS	0.06	45.97	279
CURTIS	0.06	46.04	280
PEARSON	0.06	46.1	281
DELGADO	0.06	46.16	282
VALDEZ	0.06	46.23	283
PENA	0.06	46.29	284
RIOS	0.06	46.35	285
DOUGLAS	0.06	46.42	286
SANDOVAL	0.06	46.48	287
BARRETT	0.06	46.54	288
HOPKINS	0.06	46.6	289
KELLER	0.06	46.66	290
GUERRERO	0.06	46.72	291
STANLEY	0.06	46.78	292
BATES	0.06	46.85	293
ALVARADO	0.06	46.91	294
BECK	0.06	46.97	295
ORTEGA	0.06	47.03	296
WADE	0.06	47.09	297
ESTRADA	0.06	47.15	298
CONTRERAS	0.06	47.21	299
BARNETT	0.06	47.27	300
CALDWELL	0.06	47.33	301
SANTIAGO	0.06	47.38	302
LAMBERT	0.06	47.44	303
POWERS	0.06	47.5	304
CHAMBERS	0.06	47.56	305
NUNEZ	0.06	47.62	306
CRAIG	0.06	47.68	307
LEONARD	0.06	47.73	308
LOWE	0.06	47.79	309
RHODES	0.06	47.85	310
BYRD	0.06	47.91	311
GREGORY	0.06	47.96	312
SHELTON	0.06	48.02	313
FRAZIER	0.06	48.08	314
BECKER	0.06	48.13	315
MALDONADO	0.06	48.19	316
FLEMING	0.06	48.25	317
VEGA	0.06	48.3	318
SUTTON	0.06	48.36	319
COHEN	0.06	48.42	320
JENNINGS	0.06	48.47	321
PARKS	0.06	48.53	322
MCDANIEL	0.06	48.58	323
WATTS	0.06	48.64	324
BARKER	0.06	48.7	325
NORRIS	0.06	48.75	326
VAUGHN	0.06	48.81	327
VAZQUEZ	0.06	48.86	328
HOLT	0.06	48.92	329
SCHWARTZ	0.06	48.97	330
STEELE	0.05	49.02	331
BENSON	0.05	49.08	332
NEAL	0.05	49.13	333
DOMINGUEZ	0.05	49.19	334
HORTON	0.05	49.24	335
TERRY	0.05	49.29	336
WOLFE	0.05	49.35	337
HALE	0.05	49.4	338
LYONS	0.05	49.46	339
GRAVES	0.05	49.51	340
HAYNES	0.05	49.56	341
MILES	0.05	49.61	342
PARK	0.05	49.67	343
WARNER	0.05	49.72	344
PADILLA	0.05	49.77	345
BUSH	0.05	49.83	346
THORNTON	0.05	49.88	347
MCCARTHY	0.05	49.93	348
MANN	0.05	49.98	349
ZIMMERMAN	0.05	50.03	350
ERICKSON	0.05	50.09	351
FLETCHER	0.05	50.14	352
MCKINNEY	0.05	50.19	353
PAGE	0.05	50.24	354
DAWSON	0.05	50.29	355
JOSEPH	0.05	50.35	356
MARQUEZ	0.05	50.4	357
REEVES	0.05	50.45	358
KLEIN	0.05	50.5	359
ESPINOZA	0.05	50.55	360
BALDWIN	0.05	50.6	361
MORAN	0.05	50.65	362
LOVE	0.05	50.71	363
ROBBINS	0.05	50.76	364
HIGGINS	0.05	50.81	365
BALL	0.05	50.86	366
CORTEZ	0.05	50.91	367
LE	0.05	50.96	368
GRIFFITH	0.05	51.01	369
BOWEN	0.05	51.06	370
SHARP	0.05	51.11	371
CUMMINGS	0.05	51.16	372
RAMSEY	0.05	51.2	373
HARDY	0.05	51.25	374
SWANSON	0.05	51.3	375
BARBER	0.05	51.35	376
ACOSTA	0.05	51.4	377
LUNA	0.05	51.45	378
CHANDLER	0.05	51.5	379
BLAIR	0.05	51.55	380
DANIEL	0.05	51.6	381
CROSS	0.05	51.65	382
SIMON	0.05	51.69	383
DENNIS	0.05	51.74	384
OCONNOR	0.05	51.79	385
QUINN	0.05	51.84	386
GROSS	0.05	51.89	387
NAVARRO	0.05	51.93	388
MOSS	0.05	51.98	389
FITZGERALD	0.05	52.03	390
DOYLE	0.05	52.08	391
MCLAUGHLIN	0.05	52.12	392
ROJAS	0.05	52.17	393
RODGERS	0.05	52.22	394
STEVENSON	0.05	52.26	395
SINGH	0.05	52.31	396
YANG	0.05	52.36	397
FIGUEROA	0.05	52.4	398
HARMON	0.05	52.45	399
NEWTON	0.05	52.5	400
PAUL	0.05	52.55	401
MANNING	0.05	52.59	402
GARNER	0.05	52.64	403
MCGEE	0.05	52.69	404
REESE	0.05	52.73	405
FRANCIS	0.05	52.78	406
BURGESS	0.05	52.82	407
ADKINS	0.05	52.87	408
GOODMAN	0.05	52.92	409
CURRY	0.05	52.96	410
BRADY	0.05	53.01	411
CHRISTENSEN	0.05	53.05	412
POTTER	0.05	53.1	413
WALTON	0.05	53.15	414
GOODWIN	0.05	53.19	415
MULLINS	0.05	53.24	416
MOLINA	0.05	53.28	417
WEBSTER	0.05	53.33	418
FISCHER	0.05	53.37	419
CAMPOS	0.05	53.42	420
AVILA	0.05	53.46	421
SHERMAN	0.05	53.51	422
TODD	0.05	53.55	423
CHANG	0.05	53.6	424
BLAKE	0.05	53.64	425
MALONE	0.05	53.69	426
WOLF	0.04	53.73	427
HODGES	0.04	53.77	428
JUAREZ	0.04	53.82	429
GILL	0.04	53.86	430
FARMER	0.04	53.91	431
HINES	0.04	53.95	432
GALLAGHER	0.04	53.99	433
DURAN	0.04	54.04	434
HUBBARD	0.04	54.08	435
CANNON	0.04	54.13	436
MIRANDA	0.04	54.17	437
WANG	0.04	54.21	438
SAUNDERS	0.04	54.26	439
TATE	0.04	54.3	440
MACK	0.04	54.34	441
HAMMOND	0.04	54.38	442
CARRILLO	0.04	54.43	443
TOWNSEND	0.04	54.47	444
WISE	0.04	54.51	445
INGRAM	0.04	54.56	446
BARTON	0.04	54.6	447
MEJIA	0.04	54.64	448
AYALA	0.04	54.69	449
SCHROEDER	0.04	54.73	450
HAMPTON	0.04	54.77	451
ROWE	0.04	54.81	452
PARSONS	0.04	54.86	453
FRANK	0.04	54.9	454
WATERS	0.04	54.94	455
STRICKLAND	0.04	54.98	456
OSBORNE	0.04	55.03	457
MAXWELL	0.04	55.07	458
CHAN	0.04	55.11	459
DELEON	0.04	55.15	460
NORMAN	0.04	55.2	461
HARRINGTON	0.04	55.24	462
CASEY	0.04	55.28	463
PATTON	0.04	55.32	464
LOGAN	0.04	55.36	465
BOWERS	0.04	55.41	466
MUELLER	0.04	55.45	467
GLOVER	0.04	55.49	468
FLOYD	0.04	55.53	469
HARTMAN	0.04	55.57	470
BUCHANAN	0.04	55.61	471
COBB	0.04	55.65	472
FRENCH	0.04	55.69	473
KRAMER	0.04	55.73	474
MCCORMICK	0.04	55.77	475
CLARKE	0.04	55.81	476
TYLER	0.04	55.85	477
GIBBS	0.04	55.89	478
MOODY	0.04	55.93	479
CONNER	0.04	55.97	480
SPARKS	0.04	56.01	481
MCGUIRE	0.04	56.05	482
LEON	0.04	56.09	483
BAUER	0.04	56.13	484
NORTON	0.04	56.17	485
POPE	0.04	56.21	486
FLYNN	0.04	56.25	487
HOGAN	0.04	56.29	488
ROBLES	0.04	56.33	489
SALINAS	0.04	56.37	490
YATES	0.04	56.41	491
